,I1,I2,contrast,fwhm
0,0.5,0.5,0.030415115,0.26
1,0.5,0.75,0.032666371,0.27
2,0.5,1,0.035330315,0.27
3,0.5,1.25,0.036775751,0.28
4,0.5,1.5,0.037406253,0.28
5,0.5,1.75,0.037496365,0.28
6,0.5,2,0.03729122,0.29
7,0.5,2.25,0.036848,0.29
8,0.5,2.5,0.036245591,0.29
9,0.5,2.75,0.03553192,0.29
10,0.5,3,0.034745211,0.29
11,0.75,0.75,0.039777108,0.27
12,0.75,1,0.044222362,0.28
13,0.75,1.25,0.046901446,0.28
14,0.75,1.5,0.048412499,0.28
15,0.75,1.75,0.049174595,0.29
16,0.75,2,0.049383596,0.29
17,0.75,2.25,0.049197837,0.29
18,0.75,2.5,0.048725866,0.29
19,0.75,2.75,0.048051581,0.29
20,0.75,3,0.047225664,0.29
21,1,0.5,0.035330315,0.27
22,1,0.75,0.044222362,0.28
23,1,1,0.050065363,0.28
24,1,1.25,0.053893179,0.28
25,1,1.5,0.056353713,0.29
26,1,1.75,0.057806785,0.29
27,1,2,0.058530915,0.29
28,1,2.25,0.058717131,0.29
29,1,2.5,0.058504963,0.29
30,1,2.75,0.057993459,0.29
31,1,3,0.057259459,0.29
32,1.25,1.25,0.058743986,0.29
33,1.25,1.5,0.062032969,0.29
34,1.25,1.75,0.064161826,0.29
35,1.25,2,0.065422055,0.29
36,1.25,2.25,0.066026059,0.29
37,1.25,2.5,0.066130877,0.29
38,1.25,2.75,0.065853841,0.29
39,1.25,3,0.06529106,0.29
40,1.5,0.5,0.037406253,0.28
41,1.5,0.75,0.048412499,0.28
42,1.5,1,0.056353713,0.29
43,1.5,1.25,0.062032969,0.29
44,1.5,1.5,0.066034784,0.29
45,1.5,1.75,0.068781822,0.29
46,1.5,2,0.070557244,0.29
47,1.5,2.25,0.071584393,0.29
48,1.5,2.5,0.072030619,0.29
49,1.5,2.75,0.072027473,0.29
50,1.5,3,0.071681899,0.3
51,1.75,1.75,0.072063948,0.29
52,1.75,2,0.074315231,0.29
53,1.75,2.25,0.075748757,0.29
54,1.75,2.5,0.076540118,0.29
55,1.75,2.75,0.076829261,0.3
56,1.75,3,0.076726395,0.3
57,2,0.5,0.03729122,0.29
58,2,0.75,0.049383596,0.29
59,2,1,0.058530915,0.29
60,2,1.25,0.065422055,0.29
61,2,1.5,0.070557244,0.29
62,2,1.75,0.074315231,0.29
63,2,2,0.076984362,0.29
64,2,2.25,0.078797642,0.29
65,2,2.5,0.07992641,0.3
66,2,2.75,0.080504203,0.3
67,2,3,0.080637236,0.3
68,2.25,2.25,0.08095457,0.3
69,2.25,2.5,0.08239562,0.3
70,2.25,2.75,0.083246956,0.3
71,2.25,3,0.083602937,0.3
72,2.5,0.5,0.036245591,0.29
73,2.5,0.75,0.048725866,0.29
74,2.5,1,0.058504963,0.29
75,2.5,1.25,0.066130877,0.29
76,2.5,1.5,0.072030619,0.29
77,2.5,1.75,0.076540118,0.29
78,2.5,2,0.07992641,0.3
79,2.5,2.25,0.08239562,0.3
80,2.5,2.5,0.084112653,0.3
81,2.5,2.75,0.085205515,0.3
82,2.5,3,0.085793218,0.3
83,2.75,2.75,0.086530284,0.3
84,2.75,3,0.087324335,0.3
85,3,0.5,0.034745211,0.29
86,3,0.75,0.047225664,0.29
87,3,1,0.057259459,0.29
88,3,1.25,0.06529106,0.29
89,3,1.5,0.071681899,0.3
90,3,1.75,0.076726395,0.3
91,3,2,0.080637236,0.3
92,3,2.25,0.083602937,0.3
93,3,2.5,0.085793218,0.3
94,3,2.75,0.087324335,0.3
95,3,3,0.088305077,0.3
