,I1,I2,contrast,fwhm
0,1.0,1.0,0.04888499670570543,0.32160804020100503
1,1.0,1.5,0.0553250280256799,0.32160804020100503
2,1.0,2.0,0.05762308714943177,0.32160804020100503
3,1.0,2.5,0.05770383685700989,0.32160804020100503
4,1.0,3.0,0.0565536440070014,0.2814070351758795
5,1.5,1.5,0.06500296520894565,0.2814070351758795
6,1.5,2.0,0.06959170763510535,0.32160804020100503
7,1.5,2.5,0.07114476985736802,0.2814070351758795
8,1.5,3.0,0.07085562671374629,0.32160804020100503
9,2.0,2.0,0.07603577736429813,0.32160804020100503
10,2.0,2.5,0.07900725334393684,0.2814070351758795
11,2.0,3.0,0.07972400142996446,0.2814070351758795
12,2.5,2.5,0.08316565712247302,0.2814070351758795
13,2.5,3.0,0.08483386082828025,0.32160804020100503
14,3.0,3.0,0.08732149045228205,0.32160804020100503
